trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.8, 'e': 0.47309133595515224}",25,0,-26.745717624383076,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
155,False,"{'a': 0.8, 'e': 0.4669127019211353}",25,0,-5.162038381340572,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
156,False,"{'a': 0.8, 'e': 0.46071118925814536}",25,9,-60.71169843364835,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
157,False,"{'a': 0.8, 'e': 0.4544871018390625}",30,22,-40.68513345841587,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.8, 'e': 0.4482407446429244}",20,16,7.942836216596394,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.44197242373998435}",20,12,3.5192799712217653,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.4356824462767121}",25,0,-87.40203882486028,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
161,False,"{'a': 0.8, 'e': 0.42937112046074505}",20,8,-93.45848514870367,"{0: 6, 1: 1, 2: 2, 3: 2, 4: 1}",1
162,False,"{'a': 0.8, 'e': 0.42303875554578513}",30,10,-1.2805374352941081,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.4166856618164465}",20,0,22.90684949071465,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.8, 'e': 0.4103121505730504}",20,3,-32.780509898719714,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.40391853411637296}",30,0,-39.17960926521308,"{0: 23, 1: 4, 2: 1, 3: 2, 4: 0}",0
166,False,"{'a': 0.8, 'e': 0.39750512573234104}",20,8,16.8433442240525,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.391072239676682}",25,3,17.555992972746324,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.38462019115952595}",25,2,19.39692405525134,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.3781492963299588}",25,14,13.768603606598,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.371659872260533}",20,0,-19.592956116966228,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.8, 'e': 0.365152236931729}",20,5,20.981788680913013,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.35862670921637635}",20,5,-26.490725589834575,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.8, 'e': 0.35208360886402695}",20,7,26.098363699414527,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.3455232564852894}",20,16,8.336382939517513,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.3389459735361172}",20,12,-12.266455279100894,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.33235208230205926}",30,15,3.0106402318595116,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.3257419058824663}",20,12,16.355900627385278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.3191157681746608}",25,6,4.850364680989012,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.3124739938580641}",35,1,-78.43078265618875,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 2}",1
180,False,"{'a': 0.8, 'e': 0.30581690837828934}",20,6,-18.354212908192828,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.8, 'e': 0.29914483793119256}",25,13,4.330795057296049,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.29245810944689116}",20,2,3.5879019246521278,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.2857570505737428}",20,10,-2.9647543605490667,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.2790419896622912}",25,5,25.908374421771786,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.272313255749178}",25,11,5.5646280088735525,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
186,False,"{'a': 0.8, 'e': 0.265571178541018}",30,0,26.662615455538912,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.8, 'e': 0.2588160883982461}",30,11,-22.730039200057572,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
188,False,"{'a': 0.8, 'e': 0.25204831631892716}",25,6,-22.959276301010945,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.8, 'e': 0.24526819392253935}",25,3,-28.949230093612453,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
190,False,"{'a': 0.8, 'e': 0.23847605343372313}",30,19,23.931340522396354,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8, 'e': 0.2316722276660039}",25,0,15.97904555523987,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
192,False,"{'a': 0.8, 'e': 0.22485705000548248}",30,0,-65.79388263729986,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
193,False,"{'a': 0.8, 'e': 0.21803085439450107}",25,8,7.969218329444516,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
194,False,"{'a': 0.8, 'e': 0.2111939753152784}",25,10,18.09884350732933,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
